,Temp,Irradiance,Time,Monat,Wochentag,TagArt,Verbrauch,WW,Heiz
0,2.19,0.0,0,1,2,0,0.48884416791305024,0.1171875,0.6042428020656481
1,1.99,0.0,1,1,2,0,0.35420261343896114,0.05859375,0.6133834270656481
2,1.78,0.0,2,1,2,0,0.2642552597915869,0.01953125,0.6194771770656481
3,1.58,0.0,3,1,2,0,0.23687997716512,0.01953125,0.6194771770656481
4,1.3800000000000001,0.0,4,1,2,0,0.21956092204659863,0.05859375,0.6133834270656481
5,1.17,0.0,5,1,2,0,0.21397412918277325,0.1953125,0.592055302065648
6,0.97,0.0,6,1,2,0,0.22179563699526766,0.56640625,0.5341646770656481
7,0.76,0.0,7,1,2,0,0.24581884068431809,0.60546875,0.5280709270656481
8,1.61,42.0,8,1,2,0,0.3832539089381974,0.546875,0.5372115520656481
9,2.69,115.0,9,1,2,0,0.6810299128342604,0.41015625,0.5585396770656481
10,4.11,53.0,10,1,2,0,0.9084123482421573,0.37109375,0.5646334270656481
11,4.78,86.0,11,1,2,0,1.079926860487616,0.33203125,0.5707271770656481
12,5.46,77.0,12,1,2,0,1.1832825193734986,0.33203125,0.5707271770656481
13,5.84,55.0,13,1,2,0,1.0592557544392178,0.3125,0.5737740520656481
14,5.62,20.0,14,1,2,0,0.8212584204055247,0.2734375,0.5798678020656481
15,4.45,0.0,15,1,2,0,0.6815886162612927,0.234375,0.585961552065648
16,2.65,0.0,16,1,2,0,0.6050495657985718,0.29296875,0.5768209270656481
17,1.72,0.0,17,1,2,0,0.6307487960966095,0.41015625,0.5585396770656481
18,1.0,0.0,18,1,2,0,0.8201410379834262,0.4296875,0.5554928020656481
19,1.85,0.0,19,1,2,0,0.9581347999458671,0.56640625,0.5341646770656481
20,1.67,0.0,20,1,2,0,0.9659563242278175,0.60546875,0.5280709270656481
21,1.6,0.0,21,1,2,0,0.7899723806889114,0.546875,0.5372115520656481
22,1.5,0.0,22,1,2,0,0.6972316340797472,0.3125,0.5737740520656481
23,1.25,0.0,23,1,2,0,0.5374493901775624,0.1953125,0.592055302065648
24,0.92,0.0,0,1,3,0,0.3782422306875019,0.1171875,0.6042428020656481
25,0.43,0.0,1,1,3,0,0.2585028960664946,0.05859375,0.6133834270656481
26,0.04,0.0,2,1,3,0,0.2243715577813424,0.01953125,0.6194771770656481
27,-0.21,0.0,3,1,3,0,0.21709766635178934,0.01953125,0.6194771770656481
28,-0.4,0.0,4,1,3,0,0.21485954553164263,0.05859375,0.6133834270656481
29,-0.49,0.0,5,1,3,0,0.22884779611084446,0.1953125,0.592055302065648
30,-0.63,0.0,6,1,3,0,0.3804804284107499,0.56640625,0.5341646770656481
31,-0.68,0.0,7,1,3,0,0.6803885474256589,0.60546875,0.5280709270656481
32,-0.7000000000000001,31.0,8,1,3,0,0.757603709933204,0.546875,0.5372115520656481
33,-0.28,0.0,9,1,3,0,0.7145198998330216,0.41015625,0.5585396770656481
34,0.44,112.0,10,1,3,0,0.6563287707833654,0.37109375,0.5646334270656481
35,1.02,142.0,11,1,3,0,0.64961440706451,0.33203125,0.5707271770656481
36,1.66,55.0,12,1,3,0,0.7016506983479222,0.33203125,0.5707271770656481
37,2.12,96.0,13,1,3,0,0.7508893508285358,0.3125,0.5737740520656481
38,2.24,39.0,14,1,3,0,0.6725551457232914,0.2734375,0.5798678020656481
39,2.05,0.0,15,1,3,0,0.6037329459665149,0.234375,0.585961552065648
40,1.77,0.0,16,1,3,0,0.5718397285015102,0.29296875,0.5768209270656481
41,1.43,0.0,17,1,3,0,0.6490548689168847,0.41015625,0.5585396770656481
42,1.33,0.0,18,1,3,0,0.8527238079610263,0.4296875,0.5554928020656481
43,0.5,0.0,19,1,3,0,1.0334520253745572,0.56640625,0.5341646770656481
44,0.45,0.0,20,1,3,0,1.0110708388457872,0.60546875,0.5280709270656481
45,0.47000000000000003,0.0,21,1,3,0,0.8331402788316274,0.546875,0.5372115520656481
46,0.39,0.0,22,1,3,0,0.7117222535892204,0.3125,0.5737740520656481
47,0.4,0.0,23,1,3,0,0.5483394764742657,0.1953125,0.592055302065648
48,0.54,0.0,0,1,4,0,0.3787758942877543,0.1171875,0.6042428020656481
49,0.76,0.0,1,1,4,0,0.2588676189129378,0.05859375,0.6133834270656481
50,0.92,0.0,2,1,4,0,0.22468812458827386,0.01953125,0.6194771770656481
51,1.09,0.0,3,1,4,0,0.21740397039814885,0.01953125,0.6194771770656481
52,1.3,0.0,4,1,4,0,0.21516269181189235,0.05859375,0.6133834270656481
53,1.4,0.0,5,1,4,0,0.22917067844526082,0.1953125,0.592055302065648
54,1.44,0.0,6,1,4,0,0.38101724988561503,0.56640625,0.5341646770656481
55,0.24,0.0,7,1,4,0,0.6813485104022436,0.60546875,0.5280709270656481
56,0.21,30.0,8,1,4,0,0.7586726158770752,0.546875,0.5372115520656481
57,0.51,104.0,9,1,4,0,0.7155280187340999,0.41015625,0.5585396770656481
58,0.85,47.0,10,1,4,0,0.6572547878735032,0.37109375,0.5646334270656481
59,1.3,112.0,11,1,4,0,0.6505309506746184,0.33203125,0.5707271770656481
60,1.6300000000000001,129.0,12,1,4,0,0.7026406606020771,0.33203125,0.5707271770656481
61,2.03,105.0,13,1,4,0,0.7519487837486992,0.3125,0.5737740520656481
62,2.38,35.0,14,1,4,0,0.6735040568635431,0.2734375,0.5798678020656481
63,1.97,0.0,15,1,4,0,0.6045847554388433,0.234375,0.585961552065648
64,1.0,0.0,16,1,4,0,0.5726465397454175,0.29296875,0.5768209270656481
65,0.5,0.0,17,1,4,0,0.6499706235467199,0.41015625,0.5585396770656481
66,-0.27,0.0,18,1,4,0,0.8539269195870026,0.4296875,0.5554928020656481
67,-1.09,0.0,19,1,4,0,1.0349101273908135,0.56640625,0.5341646770656481
68,-1.3800000000000001,0.0,20,1,4,0,1.0124973632315235,0.60546875,0.5280709270656481
69,-1.67,0.0,21,1,4,0,0.8343157599317375,0.546875,0.5372115520656481
70,-1.78,0.0,22,1,4,0,0.7127264254020189,0.3125,0.5737740520656481
71,-1.78,0.0,23,1,4,0,0.5491131307922714,0.1953125,0.592055302065648
72,-1.78,0.0,0,1,5,1,0.3972221478517835,0.13671875,0.6011959270656481
73,-1.6400000000000001,0.0,1,1,5,1,0.33382378644971433,0.078125,0.6103365520656481
74,-1.49,0.0,2,1,5,1,0.2463002389450361,0.0390625,0.6164303020656481
75,-1.36,0.0,3,1,5,1,0.22610249446731479,0.0390625,0.6164303020656481
76,-1.29,0.0,4,1,5,1,0.21768676861013633,0.0390625,0.6164303020656481
77,-1.23,0.0,5,1,5,1,0.21600362281175806,0.0390625,0.6164303020656481
78,-1.25,0.0,6,1,5,1,0.2558380529663955,0.078125,0.6103365520656481
79,-0.7000000000000001,0.0,7,1,5,1,0.38656231782592565,0.1171875,0.6042428020656481
80,0.0,75.0,8,1,5,1,0.5935891629898643,0.3515625,0.5676803020656481
81,1.03,135.0,9,1,5,1,0.7720025518392304,0.5859375,0.5311178020656481
82,2.39,242.0,10,1,5,1,0.8191306207635106,0.6640625,0.518930302065648
83,3.5,60.0,11,1,5,1,0.8499882805556394,0.703125,0.5128365520656482
84,4.15,158.0,12,1,5,1,0.9111425508676544,0.60546875,0.5280709270656481
85,4.59,150.0,13,1,5,1,0.9504159419504271,0.5078125,0.5433053020656481
