,P,strahlung,H_sun,temp,WS10m,Int,month,day,hour,art,strom,ww,heiz
8760,0.0,0.0,0.0,1.29,2.0,0.0,1,1,0,0,0.16825138,0.12157337,0.5901184
8761,0.0,0.0,0.0,1.13,1.79,0.0,1,1,1,0,0.080936626,0.055555295,0.6012871
8762,0.0,0.0,0.0,0.81,1.86,0.0,1,1,2,0,0.04985853,0.023419,0.61298895
8763,0.0,0.0,0.0,0.33,1.79,0.0,1,1,3,0,0.039763287,0.020754125,0.61256576
8764,0.0,0.0,0.0,-0.42,1.79,0.0,1,1,4,0,0.041374985,0.06841601,0.60327584
8765,0.0,0.0,0.0,-1.22,1.52,0.0,1,1,5,0,0.052730642,0.21279481,0.5826966
8766,0.0,0.0,0.0,-1.65,1.66,0.0,1,1,6,0,0.20189223,0.57968456,0.53113526
8767,0.0,0.0,0.0,-1.04,1.93,0.0,1,1,7,0,0.495897,0.6149228,0.52665174
8768,1027.4,133.14,7.44,0.24,2.21,0.0,1,1,8,0,0.56083524,0.55520505,0.5331021
8769,674.3,92.92,13.31,1.15,2.28,0.0,1,1,9,0,0.51441187,0.41405678,0.5581695
8770,1293.0,163.1,17.19,1.75,1.72,0.0,1,1,10,0,0.4758441,0.36987308,0.5660757
8771,1294.3,163.54,18.71,2.34,2.34,0.0,1,1,11,0,0.4701927,0.33989218,0.5708441
8772,625.1,87.98,17.71,2.78,2.76,0.0,1,1,12,0,0.51786596,0.33594507,0.5709821
8773,940.0,123.7,14.31,2.51,1.86,0.0,1,1,13,0,0.5563488,0.30760914,0.5748854
8774,815.3,109.77,8.82,2.29,1.1,0.0,1,1,14,0,0.484192,0.26786083,0.581752
8775,0.0,0.0,0.0,3.07,0.34,0.0,1,1,15,0,0.4128593,0.23261052,0.5883887
8776,0.0,0.0,0.0,2.32,0.83,0.0,1,1,16,0,0.38874313,0.28542867,0.5747323
8777,0.0,0.0,0.0,0.75,1.17,0.0,1,1,17,0,0.47172257,0.4108003,0.5549188
8778,0.0,0.0,0.0,0.25,1.1,0.0,1,1,18,0,0.66677684,0.43181714,0.5554344
8779,0.0,0.0,0.0,-1.23,1.45,0.0,1,1,19,0,0.8396496,0.56591976,0.5329501
8780,0.0,0.0,0.0,-0.28,1.1,0.0,1,1,20,0,0.8062851,0.6106809,0.5262136
8781,0.0,0.0,0.0,-0.36,1.03,0.0,1,1,21,0,0.6404989,0.56361914,0.53200024
8782,0.0,0.0,0.0,-0.42,0.9,0.0,1,1,22,0,0.51722777,0.3080382,0.5694416
8783,0.0,0.0,0.0,-0.72,0.83,0.0,1,1,23,0,0.36393622,0.19260871,0.5855275
8784,0.0,0.0,0.0,-1.11,0.83,0.0,1,2,0,0,0.1669283,0.12067036,0.5887799
8785,0.0,0.0,0.0,-1.28,0.9,0.0,1,2,1,0,0.07908043,0.055131137,0.6001315
8786,0.0,0.0,0.0,-1.61,1.03,0.0,1,2,2,0,0.04804376,0.023601025,0.6119354
8787,0.0,0.0,0.0,-1.46,0.97,0.0,1,2,3,0,0.038672198,0.020781042,0.61179155
8788,0.0,0.0,0.0,-1.58,0.9,0.0,1,2,4,0,0.041149266,0.06885126,0.60293764
8789,0.0,0.0,0.0,-2.12,1.03,0.0,1,2,5,0,0.052569866,0.21327932,0.5823395
8790,0.0,0.0,0.0,-2.49,1.24,0.0,1,2,6,0,0.20222795,0.5799931,0.5306618
